iter,objval,r_norm,eps_pri,s_norm,eps_dual
1,3.34785783707951,3.70476620042973,0.0465263311386255,0.724995265880509,0.0441187298161628
2,10.131387019548,2.26535912233181,0.0408832056399849,1.79598693882635,0.0653366952458589
3,15.1386177417478,1.09575631728862,0.0528733343184014,2.03250577616785,0.0733921141802904
4,17.6807042628345,0.805033932133961,0.0686764322897529,1.7218939178403,0.0735874164633457
5,18.6892336191905,0.861937800644837,0.0800798889387311,1.22337587794313,0.0704462228270534
6,18.9234201995291,0.80777708244946,0.0864300352080316,0.766937784881953,0.0666770107501321
7,18.7993608774951,0.661126710354431,0.0889369588615454,0.439815236314512,0.0634569379906598
8,18.4942607815589,0.490561827175406,0.0889887153814729,0.265918698536283,0.0611559140169711
9,18.1222625890981,0.337908670496752,0.0877523700378327,0.215886763785036,0.0597618000593661
10,17.7763918722524,0.225546428406924,0.0860882029383515,0.198692205256565,0.0591034584329697
11,17.5137631202306,0.158458044557927,0.0845230029820424,0.172132063621378,0.0589661380189436
12,17.3485655776902,0.121155850259485,0.0833057457046638,0.137947869872546,0.059147365906938
13,17.2698674180105,0.0978584762251988,0.0824958202048905,0.104430388697096,0.0594793368146042
14,17.2516024478062,0.0799253273985028,0.0820435330796026,0.0758560468476407,0.0598472907256368
15,17.2693553575176,0.0649905372514796,0.0818532325451118,0.0531550738297721,0.0601837113356401
