Boyd ADMM Lasso rho/alpha tuning
Run directory: example/boyd_admm_lasso_20260513
MATLAB version: 25.1.0.2943329 (R2025a)
Timestamp: 2026-05-13 12:49:49
Baseline objective: 17.2693553575
Objective tolerance: 0.1

=== Trial 01: rho=0.1 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
 95	    0.0948	    0.0819	    0.0002	    0.0590	     17.19
 96	    0.0930	    0.0819	    0.0002	    0.0590	     17.19
 97	    0.0912	    0.0820	    0.0002	    0.0591	     17.20
 98	    0.0895	    0.0820	    0.0002	    0.0591	     17.20
 99	    0.0878	    0.0820	    0.0002	    0.0592	     17.21
100	    0.0861	    0.0820	    0.0002	    0.0592	     17.21
101	    0.0845	    0.0820	    0.0002	    0.0593	     17.22
102	    0.0829	    0.0820	    0.0001	    0.0593	     17.22
103	    0.0813	    0.0820	    0.0001	    0.0593	     17.23
历时 1.022368 秒。

summary: iterations=103 final_objective=17.228307428 r_norm=0.0812508905672 eps_pri=0.0819896151448 s_norm=0.000136857382407 eps_dual=0.0593408554524 valid=1 elapsed_seconds=1.024601 status=success

=== Trial 02: rho=0.1 alpha=1.2 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    5.1637	    0.0587	    0.0000	    0.0133	      0.05
  2	    4.9256	    0.0563	    0.0000	    0.0192	      0.25
  3	    4.7038	    0.0541	    0.0018	    0.0248	      0.56
  4	    4.3022	    0.0521	    0.1314	    0.0299	      1.69
  5	    3.6501	    0.0557	    0.2364	    0.0339	      3.77
  6	    3.1742	    0.0705	    0.2466	    0.0368	      6.31
  7	    3.0042	    0.0841	    0.1938	    0.0389	      8.41
  8	    2.8129	    0.0893	    0.1438	    0.0406	      9.78
  9	    2.4043	    0.0866	    0.1563	    0.0421	     10.86
 10	    1.9652	    0.0815	    0.1763	    0.0434	     11.77
 11	    1.7830	    0.0789	    0.1519	    0.0444	     12.50
 12	    1.7123	    0.0786	    0.1083	    0.0453	     13.12
 13	    1.5285	    0.0788	    0.0940	    0.0461	     13.69
 14	    1.2955	    0.0795	    0.0988	    0.0468	     14.16
 15	    1.1381	    0.0806	    0.0916	    0.0474	     14.57
 16	    1.0451	    0.0813	    0.0767	    0.0478	     14.88
 17	    0.9674	    0.0814	    0.0616	    0.0483	     15.08
 18	    0.8866	    0.0810	    0.0520	    0.0487	     15.17
 19	    0.8172	    0.0803	    0.0448	    0.0491	     15.18
 20	    0.7666	    0.0798	    0.0368	    0.0496	     15.18
 21	    0.7155	    0.0796	    0.0320	    0.0500	     15.24
 22	    0.6574	    0.0796	    0.0323	    0.0505	     15.38
 23	    0.6121	    0.0800	    0.0303	    0.0509	     15.55
 24	    0.5851	    0.0804	    0.0249	    0.0512	     15.71
 25	    0.5621	    0.0808	    0.0189	    0.0515	     15.83
 26	    0.5350	    0.0810	    0.0163	    0.0518	     15.91
 27	    0.4988	    0.0810	    0.0184	    0.0521	     15.99
 28	    0.4647	    0.0810	    0.0195	    0.0524	     16.06
