Boyd ADMM Lasso rho/alpha tuning
Run directory: example/boyd_admm_lasso_20260513
MATLAB version: 25.1.0.2943329 (R2025a)
Timestamp: 2026-05-13 12:49:49
Baseline objective: 17.2693553575
Objective tolerance: 0.1

=== Trial 01: rho=0.1 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
 16	    0.2604	    0.0821	    0.0516	    0.0564	     16.86
 17	    0.2302	    0.0821	    0.0437	    0.0567	     16.93
 18	    0.2091	    0.0820	    0.0340	    0.0570	     16.96
 19	    0.1899	    0.0819	    0.0256	    0.0573	     16.98
 20	    0.1711	    0.0818	    0.0202	    0.0576	     17.00
 21	    0.1538	    0.0818	    0.0183	    0.0579	     17.03
 22	    0.1393	    0.0818	    0.0168	    0.0581	     17.06
 23	    0.1288	    0.0818	    0.0134	    0.0584	     17.09
 24	    0.1199	    0.0819	    0.0091	    0.0586	     17.12
 25	    0.1107	    0.0819	    0.0072	    0.0588	     17.15
 26	    0.1014	    0.0819	    0.0077	    0.0589	     17.18
 27	    0.0938	    0.0820	    0.0070	    0.0591	     17.20
 28	    0.0876	    0.0820	    0.0052	    0.0592	     17.22
 29	    0.0819	    0.0820	    0.0033	    0.0594	     17.23
历时 0.288099 秒。

summary: iterations=29 final_objective=17.2343725166 r_norm=0.0818620324575 eps_pri=0.0820216319977 s_norm=0.00331056313265 eps_dual=0.0593787659913 valid=1 elapsed_seconds=0.288369 status=success

=== Trial 07: rho=0.3 alpha=1.5 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    4.7334	    0.0551	    0.0886	    0.0285	      0.55
  2	    3.6649	    0.0485	    0.7316	    0.0441	      4.50
  3	    2.5332	    0.0702	    1.1257	    0.0516	     10.77
  4	    2.2427	    0.0955	    0.8790	    0.0529	     15.97
  5	    1.9312	    0.1009	    0.5696	    0.0520	     18.27
  6	    1.3929	    0.0963	    0.5558	    0.0509	     17.93
  7	    1.1436	    0.0866	    0.4400	    0.0509	     16.50
  8	    0.9668	    0.0784	    0.3004	    0.0522	     15.50
  9	    0.7337	    0.0757	    0.2821	    0.0538	     15.45
 10	    0.6165	    0.0792	    0.2304	    0.0550	     16.01
 11	    0.5395	    0.0823	    0.1552	    0.0558	     16.60
 12	    0.4272	    0.0833	    0.1363	    0.0562	     16.95
 13	    0.3466	    0.0830	    0.1219	    0.0566	     17.03
 14	    0.3012	    0.0824	    0.0922	    0.0569	     16.99
 15	    0.2581	    0.0818	    0.0701	    0.0572	     16.95
 16	    0.2187	    0.0816	    0.0564	    0.0576	     16.96
 17	    0.1843	    0.0816	    0.0496	    0.0580	     17.00
 18	    0.1594	    0.0817	    0.0432	    0.0583	     17.06
 19	    0.1446	    0.0818	    0.0307	    0.0586	     17.11
 20	    0.1281	    0.0819	    0.0222	    0.0588	     17.16
 21	    0.1100	    0.0820	    0.0228	    0.0590	     17.20
 22	    0.0984	    0.0821	    0.0196	    0.0592	     17.23
 23	    0.0903	    0.0821	    0.0128	    0.0594	     17.24
 24	    0.0811	    0.0821	    0.0099	    0.0595	     17.25
历时 0.306846 秒。

summary: iterations=24 final_objective=17.2495809434 r_norm=0.0811334230331 eps_pri=0.0820736359191 s_norm=0.00992375571338 eps_dual=0.0595289114905 valid=1 elapsed_seconds=0.307142 status=success

=== Trial 08: rho=0.3 alpha=1.8 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    4.6100	    0.0551	    0.2206	    0.0324	      0.88
  2	    3.4966	    0.0490	    1.0237	    0.0489	      6.63
  3	    2.8518	    0.0917	    1.3783	    0.0539	     14.75
  4	    2.5615	    0.1089	    0.8358	    0.0525	     19.32
  5	    2.0003	    0.1030	    0.8327	    0.0505	     18.78
  6	    1.7015	    0.0876	    0.7425	    0.0504	     15.88
  7	    1.4485	    0.0741	    0.4976	    0.0528	     14.40
  8	    1.1752	    0.0759	    0.5443	    0.0553	     15.28
  9	    1.0428	    0.0852	    0.3846	    0.0564	     16.80
 10	    0.8483	    0.0869	    0.3323	    0.0565	     17.49
 11	    0.7132	    0.0852	    0.3160	    0.0565	     17.26
 12	    0.6146	    0.0823	    0.2235	    0.0569	     16.88
 13	    0.5066	    0.0809	    0.2092	    0.0575	     16.80
 14	    0.4349	    0.0818	    0.1668	    0.0580	     16.94
 15	    0.3613	    0.0821	    0.1495	    0.0584	     17.06
 16	    0.3136	    0.0820	    0.1238	    0.0587	     17.12
 17	    0.2664	    0.0818	    0.0893	    0.0590	     17.19
 18	    0.2178	    0.0822	    0.0962	    0.0592	     17.28
 19	    0.1939	    0.0825	    0.0714	    0.0593	     17.31
 20	    0.1630	    0.0824	    0.0535	    0.0595	     17.26
 21	    0.1359	    0.0821	    0.0561	    0.0597	     17.21
 22	    0.1200	    0.0818	    0.0428	    0.0599	     17.24
 23	    0.1023	    0.0820	    0.0350	    0.0601	     17.31
 24	    0.0875	    0.0822	    0.0307	    0.0602	     17.37
 25	    0.0751	    0.0823	    0.0259	    0.0603	     17.38
历时 0.304157 秒。

summary: iterations=25 final_objective=17.3813343889 r_norm=0.0750768509242 eps_pri=0.0822686568636 s_norm=0.025877075291 eps_dual=0.0602549629124 valid=0 elapsed_seconds=0.304580 status=success

=== Trial 09: rho=1 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    3.7048	    0.0465	    0.7250	    0.0441	      3.35
  2	    2.2654	    0.0409	    1.7960	    0.0653	     10.13
  3	    1.0958	    0.0529	    2.0325	    0.0734	     15.14
  4	    0.8050	    0.0687	    1.7219	    0.0736	     17.68
  5	    0.8619	    0.0801	    1.2234	    0.0704	     18.69
  6	    0.8078	    0.0864	    0.7669	    0.0667	     18.92
  7	    0.6611	    0.0889	    0.4398	    0.0635	     18.80
  8	    0.4906	    0.0890	    0.2659	    0.0612	     18.49
  9	    0.3379	    0.0878	    0.2159	    0.0598	     18.12
 10	    0.2255	    0.0861	    0.1987	    0.0591	     17.78
 11	    0.1585	    0.0845	    0.1721	    0.0590	     17.51
 12	    0.1212	    0.0833	    0.1379	    0.0591	     17.35
 13	    0.0979	    0.0825	    0.1044	    0.0595	     17.27
 14	    0.0799	    0.0820	    0.0759	    0.0598	     17.25
 15	    0.0650	    0.0819	    0.0532	    0.0602	     17.27
历时 0.219759 秒。

summary: iterations=15 final_objective=17.2693553575 r_norm=0.0649905372515 eps_pri=0.0818532325451 s_norm=0.0531550738298 eps_dual=0.0601837113356 valid=1 elapsed_seconds=0.220069 status=success

=== Trial 10: rho=1 alpha=1.2 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    3.5919	    0.0465	    1.0676	    0.0506	      3.83
  2	    1.9487	    0.0424	    2.3153	    0.0717	     12.29
  3	    0.9693	    0.0638	    2.4042	    0.0756	     17.60
  4	    0.9851	    0.0801	    1.7288	    0.0718	     19.38
  5	    0.9237	    0.0883	    0.9870	    0.0666	     19.51
  6	    0.7041	    0.0905	    0.5049	    0.0624	     19.09
  7	    0.4675	    0.0896	    0.3400	    0.0598	     18.47
  8	    0.2882	    0.0872	    0.3127	    0.0587	     17.87
  9	    0.1941	    0.0848	    0.2617	    0.0586	     17.44
 10	    0.1470	    0.0830	    0.1939	    0.0590	     17.22
 11	    0.1146	    0.0820	    0.1346	    0.0595	     17.17
 12	    0.0876	    0.0816	    0.0908	    0.0601	     17.20
 13	    0.0664	    0.0816	    0.0596	    0.0605	     17.27
历时 0.252180 秒。

summary: iterations=13 final_objective=17.2696302235 r_norm=0.0663563196733 eps_pri=0.0816377518205 s_norm=0.0595892671241 eps_dual=0.0604795757825 valid=1 elapsed_seconds=0.252438 status=success

=== Trial 11: rho=1 alpha=1.5 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    3.4492	    0.0465	    1.6277	    0.0602	      4.78
  2	    1.7602	    0.0545	    3.1538	    0.0779	     15.78
  3	    1.3661	    0.0808	    2.7217	    0.0743	     20.54
  4	    1.1884	    0.0924	    1.3888	    0.0662	     20.55
  5	    0.7889	    0.0929	    0.6566	    0.0605	     19.41
  6	    0.4680	    0.0899	    0.5956	    0.0580	     18.15
  7	    0.3149	    0.0854	    0.4840	    0.0578	     17.26
  8	    0.2327	    0.0823	    0.3129	    0.0588	     16.95
  9	    0.1619	    0.0811	    0.2027	    0.0599	     17.02
 10	    0.1113	    0.0813	    0.1373	    0.0606	     17.21
 11	    0.0781	    0.0818	    0.0862	    0.0609	     17.36
 12	    0.0527	    0.0822	    0.0588	    0.0610	     17.44
历时 0.195167 秒。

summary: iterations=12 final_objective=17.4375073753 r_norm=0.0527348846358 eps_pri=0.0821587100244 s_norm=0.0587902258847 eps_dual=0.0610437305609 valid=0 elapsed_seconds=0.196230 status=success

=== Trial 12: rho=1 alpha=1.8 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    3.3851	    0.0465	    2.2253	    0.0696	      5.89
  2	    2.1129	    0.0698	    4.0706	    0.0804	     19.51
  3	    1.7893	    0.0947	    2.6618	    0.0695	     22.36
  4	    1.1337	    0.0966	    1.0440	    0.0603	     20.38
  5	    0.7200	    0.0921	    1.0665	    0.0567	     18.07
  6	    0.5387	    0.0844	    0.7682	    0.0574	     16.68
  7	    0.3705	    0.0801	    0.4429	    0.0596	     16.62
  8	    0.2547	    0.0806	    0.3395	    0.0610	     17.12
  9	    0.1822	    0.0821	    0.2109	    0.0613	     17.47
 10	    0.1256	    0.0826	    0.1420	    0.0611	     17.55
 11	    0.0914	    0.0825	    0.1161	    0.0610	     17.49
 12	    0.0680	    0.0823	    0.0700	    0.0610	     17.43
 13	    0.0485	    0.0822	    0.0424	    0.0611	     17.43
历时 0.195219 秒。

summary: iterations=13 final_objective=17.4271774478 r_norm=0.0485436733153 eps_pri=0.0822160637168 s_norm=0.0423972123686 eps_dual=0.0610958533626 valid=0 elapsed_seconds=0.195447 status=success

=== Trial 13: rho=3 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    2.3807	    0.0343	    2.7044	    0.0785	     11.43
  2	    0.8649	    0.0316	    4.1969	    0.1013	     22.36
  3	    0.3081	    0.0428	    3.8600	    0.1025	     24.44
  4	    0.3375	    0.0528	    3.0500	    0.0974	     23.19
  5	    0.3329	    0.0603	    2.3696	    0.0911	     21.59
  6	    0.3023	    0.0660	    1.8644	    0.0853	     20.35
  7	    0.2598	    0.0703	    1.4816	    0.0804	     19.43
  8	    0.2255	    0.0736	    1.1674	    0.0762	     18.82
  9	    0.1865	    0.0760	    0.9118	    0.0728	     18.41
 10	    0.1548	    0.0778	    0.6996	    0.0700	     18.13
 11	    0.1278	    0.0792	    0.5254	    0.0678	     17.95
 12	    0.0960	    0.0801	    0.3943	    0.0661	     17.81
 13	    0.0755	    0.0808	    0.2955	    0.0648	     17.71
 14	    0.0585	    0.0813	    0.2181	    0.0639	     17.64
 15	    0.0462	    0.0816	    0.1569	    0.0631	     17.59
 16	    0.0336	    0.0818	    0.1158	    0.0626	     17.55
 17	    0.0261	    0.0820	    0.0820	    0.0622	     17.53
 18	    0.0190	    0.0820	    0.0597	    0.0619	     17.51
历时 0.231267 秒。

summary: iterations=18 final_objective=17.5063856746 r_norm=0.0189728223199 eps_pri=0.0820495545639 s_norm=0.0597406159834 eps_dual=0.0619135956891 valid=0 elapsed_seconds=0.231574 status=success

=== Trial 14: rho=3 alpha=1.2 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    2.2830	    0.0343	    3.5875	    0.0906	     12.28
  2	    0.6531	    0.0362	    5.1799	    0.1059	     25.04
  3	    0.4407	    0.0501	    4.2308	    0.1004	     25.00
  4	    0.4125	    0.0600	    3.0695	    0.0921	     22.53
  5	    0.3453	    0.0668	    2.2758	    0.0846	     20.64
  6	    0.2810	    0.0717	    1.7210	    0.0787	     19.44
  7	    0.2300	    0.0751	    1.2890	    0.0741	     18.72
  8	    0.1813	    0.0776	    0.9440	    0.0705	     18.28
  9	    0.1408	    0.0792	    0.6669	    0.0677	     18.02
 10	    0.0998	    0.0803	    0.4705	    0.0657	     17.83
 11	    0.0735	    0.0811	    0.3299	    0.0643	     17.71
 12	    0.0546	    0.0815	    0.2226	    0.0633	     17.63
 13	    0.0383	    0.0818	    0.1520	    0.0626	     17.57
 14	    0.0272	    0.0820	    0.1004	    0.0621	     17.53
 15	    0.0184	    0.0821	    0.0679	    0.0618	     17.51
 16	    0.0129	    0.0821	    0.0457	    0.0616	     17.49
历时 0.224239 秒。

summary: iterations=16 final_objective=17.487478215 r_norm=0.0128624694105 eps_pri=0.0821407198575 s_norm=0.0456982617925 eps_dual=0.0616059181521 valid=0 elapsed_seconds=0.224446 status=success

=== Trial 15: rho=3 alpha=1.5 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    2.1237	    0.0343	    5.0391	    0.1062	     14.45
  2	    0.8572	    0.0453	    6.4559	    0.1060	     28.34
  3	    0.6611	    0.0593	    4.3678	    0.0937	     24.39
  4	    0.4837	    0.0678	    2.9537	    0.0836	     21.07
  5	    0.3593	    0.0733	    2.0759	    0.0764	     19.40
  6	    0.2639	    0.0769	    1.4282	    0.0714	     18.56
  7	    0.1872	    0.0792	    0.9321	    0.0677	     18.14
  8	    0.1244	    0.0806	    0.5975	    0.0653	     17.87
  9	    0.0819	    0.0814	    0.3722	    0.0637	     17.71
 10	    0.0529	    0.0818	    0.2253	    0.0627	     17.61
 11	    0.0329	    0.0820	    0.1333	    0.0620	     17.55
 12	    0.0200	    0.0821	    0.0796	    0.0617	     17.51
 13	    0.0122	    0.0822	    0.0471	    0.0615	     17.48
历时 0.189208 秒。

summary: iterations=13 final_objective=17.4824946493 r_norm=0.0121969576974 eps_pri=0.0821722699864 s_norm=0.0471311491388 eps_dual=0.0614867203822 valid=0 elapsed_seconds=0.189416 status=success

=== Trial 16: rho=3 alpha=1.8 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    1.9744	    0.0343	    6.6664	    0.1184	     18.05
  2	    1.3224	    0.0533	    7.3856	    0.1002	     30.35
  3	    0.7802	    0.0652	    4.2506	    0.0871	     22.38
  4	    0.5746	    0.0727	    2.8587	    0.0772	     19.92
  5	    0.4058	    0.0771	    1.8123	    0.0712	     18.66
  6	    0.2935	    0.0797	    1.0937	    0.0670	     18.17
  7	    0.2101	    0.0811	    0.6261	    0.0645	     17.85
  8	    0.1544	    0.0817	    0.3414	    0.0629	     17.68
  9	    0.1163	    0.0820	    0.1791	    0.0621	     17.57
 10	    0.0900	    0.0822	    0.0935	    0.0616	     17.51
 11	    0.0708	    0.0822	    0.0478	    0.0614	     17.48
历时 0.179465 秒。

summary: iterations=11 final_objective=17.4779433123 r_norm=0.0707591834192 eps_pri=0.0821933996364 s_norm=0.0478284308443 eps_dual=0.061428529019 valid=0 elapsed_seconds=0.179758 status=success

=== Trial 17: rho=10 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    1.0757	    0.0208	    5.8101	    0.1146	     26.66
  2	    0.1546	    0.0199	    6.9394	    0.1247	     35.68
  3	    0.0711	    0.0257	    5.9628	    0.1214	     33.46
  4	    0.0774	    0.0308	    5.0623	    0.1169	     30.86
  5	    0.0724	    0.0350	    4.3976	    0.1125	     28.81
  6	    0.0651	    0.0388	    3.9063	    0.1086	     27.16
  7	    0.0614	    0.0421	    3.5292	    0.1050	     25.84
  8	    0.0533	    0.0451	    3.2328	    0.1019	     24.71
  9	    0.0521	    0.0478	    2.9865	    0.0991	     23.78
 10	    0.0468	    0.0503	    2.7776	    0.0965	     22.96
 11	    0.0476	    0.0526	    2.5867	    0.0940	     22.27
 12	    0.0437	    0.0547	    2.4149	    0.0917	     21.65
 13	    0.0403	    0.0567	    2.2587	    0.0897	     21.11
 14	    0.0410	    0.0585	    2.1072	    0.0876	     20.66
 15	    0.0382	    0.0602	    1.9712	    0.0858	     20.25
 16	    0.0311	    0.0618	    1.8510	    0.0842	     19.88
 17	    0.0316	    0.0633	    1.7310	    0.0827	     19.57
 18	    0.0321	    0.0647	    1.6160	    0.0811	     19.30
 19	    0.0276	    0.0660	    1.5122	    0.0797	     19.06
 20	    0.0258	    0.0672	    1.4171	    0.0785	     18.85
 21	    0.0230	    0.0683	    1.3269	    0.0773	     18.66
 22	    0.0221	    0.0694	    1.2408	    0.0762	     18.50
 23	    0.0263	    0.0704	    1.1497	    0.0750	     18.37
 24	    0.0201	    0.0713	    1.0727	    0.0740	     18.24
 25	    0.0176	    0.0721	    1.0017	    0.0731	     18.13
 26	    0.0181	    0.0729	    0.9342	    0.0723	     18.04
 27	    0.0168	    0.0736	    0.8672	    0.0714	     17.96
 28	    0.0155	    0.0743	    0.8051	    0.0707	     17.89
 29	    0.0151	    0.0749	    0.7449	    0.0700	     17.83
 30	    0.0132	    0.0755	    0.6906	    0.0693	     17.78
 31	    0.0119	    0.0760	    0.6388	    0.0687	     17.73
 32	    0.0138	    0.0765	    0.5843	    0.0681	     17.70
 33	    0.0119	    0.0770	    0.5364	    0.0675	     17.67
 34	    0.0088	    0.0774	    0.4971	    0.0670	     17.64
 35	    0.0076	    0.0778	    0.4624	    0.0665	     17.61
 36	    0.0068	    0.0781	    0.4297	    0.0661	     17.59
 37	    0.0075	    0.0784	    0.3982	    0.0658	     17.57
 38	    0.0072	    0.0787	    0.3659	    0.0654	     17.56
 39	    0.0064	    0.0790	    0.3384	    0.0651	     17.54
 40	    0.0051	    0.0793	    0.3148	    0.0648	     17.53
 41	    0.0049	    0.0795	    0.2920	    0.0645	     17.52
 42	    0.0047	    0.0797	    0.2710	    0.0643	     17.51
 43	    0.0046	    0.0799	    0.2513	    0.0641	     17.51
 44	    0.0040	    0.0801	    0.2326	    0.0638	     17.50
 45	    0.0037	    0.0803	    0.2161	    0.0637	     17.49
 46	    0.0032	    0.0804	    0.2011	    0.0635	     17.49
 47	    0.0044	    0.0806	    0.1826	    0.0633	     17.48
 48	    0.0033	    0.0807	    0.1688	    0.0631	     17.48
 49	    0.0030	    0.0808	    0.1554	    0.0630	     17.48
 50	    0.0026	    0.0809	    0.1437	    0.0628	     17.47
 51	    0.0030	    0.0810	    0.1313	    0.0627	     17.47
 52	    0.0020	    0.0811	    0.1217	    0.0626	     17.47
 53	    0.0018	    0.0812	    0.1129	    0.0625	     17.47
 54	    0.0017	    0.0813	    0.1048	    0.0624	     17.47
 55	    0.0016	    0.0814	    0.0973	    0.0623	     17.47
 56	    0.0014	    0.0814	    0.0904	    0.0622	     17.46
 57	    0.0013	    0.0815	    0.0840	    0.0622	     17.46
 58	    0.0012	    0.0815	    0.0779	    0.0621	     17.46
 59	    0.0022	    0.0816	    0.0700	    0.0620	     17.46
 60	    0.0011	    0.0816	    0.0647	    0.0620	     17.46
 61	    0.0010	    0.0817	    0.0600	    0.0619	     17.46
历时 0.583071 秒。

summary: iterations=61 final_objective=17.4599420166 r_norm=0.000984656847205 eps_pri=0.0816883197417 s_norm=0.0599839813093 eps_dual=0.0619004850579 valid=0 elapsed_seconds=0.583437 status=success

=== Trial 18: rho=10 alpha=1.2 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    0.9515	    0.0208	    7.7472	    0.1262	     28.19
  2	    0.1684	    0.0228	    8.0243	    0.1243	     36.46
  3	    0.1391	    0.0293	    6.5090	    0.1183	     32.65
  4	    0.1174	    0.0345	    5.4328	    0.1129	     29.71
  5	    0.1039	    0.0390	    4.7101	    0.1082	     27.57
  6	    0.0928	    0.0428	    4.1854	    0.1041	     25.91
  7	    0.0832	    0.0463	    3.7869	    0.1005	     24.57
  8	    0.0773	    0.0493	    3.4638	    0.0974	     23.48
  9	    0.0711	    0.0522	    3.1843	    0.0944	     22.57
 10	    0.0673	    0.0547	    2.9341	    0.0917	     21.80
 11	    0.0614	    0.0571	    2.7091	    0.0892	     21.14
 12	    0.0589	    0.0592	    2.4918	    0.0868	     20.60
 13	    0.0523	    0.0612	    2.3046	    0.0847	     20.12
 14	    0.0463	    0.0630	    2.1338	    0.0829	     19.70
 15	    0.0466	    0.0647	    1.9652	    0.0811	     19.37
 16	    0.0417	    0.0663	    1.8131	    0.0794	     19.08
 17	    0.0373	    0.0677	    1.6780	    0.0779	     18.82
 18	    0.0352	    0.0690	    1.5496	    0.0766	     18.61
 19	    0.0335	    0.0702	    1.4176	    0.0752	     18.43
 20	    0.0302	    0.0713	    1.3034	    0.0740	     18.28
 21	    0.0266	    0.0723	    1.1989	    0.0729	     18.15
 22	    0.0250	    0.0732	    1.1028	    0.0719	     18.03
 23	    0.0241	    0.0740	    1.0081	    0.0709	     17.94
 24	    0.0216	    0.0748	    0.9182	    0.0701	     17.87
 25	    0.0194	    0.0755	    0.8383	    0.0693	     17.80
 26	    0.0174	    0.0761	    0.7618	    0.0685	     17.75
 27	    0.0176	    0.0767	    0.6852	    0.0678	     17.70
 28	    0.0152	    0.0772	    0.6212	    0.0671	     17.66
 29	    0.0126	    0.0777	    0.5679	    0.0666	     17.63
 30	    0.0110	    0.0781	    0.5202	    0.0661	     17.60
 31	    0.0109	    0.0785	    0.4750	    0.0657	     17.58
 32	    0.0108	    0.0789	    0.4290	    0.0652	     17.56
 33	    0.0089	    0.0792	    0.3915	    0.0649	     17.55
 34	    0.0076	    0.0795	    0.3582	    0.0645	     17.53
 35	    0.0073	    0.0797	    0.3271	    0.0642	     17.52
 36	    0.0067	    0.0800	    0.2990	    0.0640	     17.51
 37	    0.0062	    0.0802	    0.2721	    0.0637	     17.50
 38	    0.0053	    0.0804	    0.2495	    0.0635	     17.50
 39	    0.0053	    0.0806	    0.2239	    0.0633	     17.49
 40	    0.0048	    0.0807	    0.2033	    0.0631	     17.49
 41	    0.0043	    0.0809	    0.1840	    0.0629	     17.48
 42	    0.0037	    0.0810	    0.1663	    0.0628	     17.48
 43	    0.0035	    0.0811	    0.1508	    0.0626	     17.47
 44	    0.0030	    0.0812	    0.1377	    0.0625	     17.47
 45	    0.0027	    0.0813	    0.1258	    0.0624	     17.47
 46	    0.0025	    0.0814	    0.1150	    0.0623	     17.47
 47	    0.0022	    0.0815	    0.1053	    0.0622	     17.47
 48	    0.0021	    0.0815	    0.0964	    0.0621	     17.46
 49	    0.0024	    0.0816	    0.0851	    0.0620	     17.46
 50	    0.0017	    0.0817	    0.0775	    0.0619	     17.46
 51	    0.0015	    0.0817	    0.0707	    0.0619	     17.46
 52	    0.0014	    0.0818	    0.0645	    0.0618	     17.46
 53	    0.0013	    0.0818	    0.0589	    0.0618	     17.46
历时 0.498719 秒。

summary: iterations=53 final_objective=17.4599303807 r_norm=0.00126292362495 eps_pri=0.0817959011596 s_norm=0.0589284113936 eps_dual=0.0617684726247 valid=0 elapsed_seconds=0.498924 status=success

=== Trial 19: rho=10 alpha=1.5 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    0.7829	    0.0208	   10.9782	    0.1386	     31.23
  2	    0.3866	    0.0270	    9.2647	    0.1194	     36.69
  3	    0.2552	    0.0337	    7.0546	    0.1149	     30.98
  4	    0.2166	    0.0392	    5.9634	    0.1078	     28.25
  5	    0.1841	    0.0438	    5.1639	    0.1031	     25.98
  6	    0.1641	    0.0478	    4.5974	    0.0987	     24.37
  7	    0.1471	    0.0514	    4.1398	    0.0951	     23.06
  8	    0.1344	    0.0547	    3.7439	    0.0917	     22.04
  9	    0.1222	    0.0576	    3.3905	    0.0886	     21.19
 10	    0.1109	    0.0602	    3.0565	    0.0857	     20.52
 11	    0.0988	    0.0626	    2.7777	    0.0834	     19.94
 12	    0.0905	    0.0647	    2.5102	    0.0811	     19.49
 13	    0.0820	    0.0666	    2.2680	    0.0790	     19.11
 14	    0.0728	    0.0683	    2.0561	    0.0772	     18.79
 15	    0.0658	    0.0699	    1.8532	    0.0755	     18.54
 16	    0.0604	    0.0713	    1.6630	    0.0739	     18.34
 17	    0.0533	    0.0725	    1.4965	    0.0726	     18.17
 18	    0.0477	    0.0737	    1.3450	    0.0714	     18.03
 19	    0.0430	    0.0747	    1.2001	    0.0702	     17.92
 20	    0.0389	    0.0755	    1.0684	    0.0692	     17.84
 21	    0.0340	    0.0763	    0.9464	    0.0683	     17.76
 22	    0.0308	    0.0770	    0.8291	    0.0674	     17.71
 23	    0.0264	    0.0776	    0.7372	    0.0667	     17.66
 24	    0.0231	    0.0782	    0.6602	    0.0661	     17.62
 25	    0.0209	    0.0787	    0.5875	    0.0655	     17.59
 26	    0.0191	    0.0791	    0.5189	    0.0650	     17.57
 27	    0.0164	    0.0795	    0.4639	    0.0646	     17.55
 28	    0.0147	    0.0798	    0.4133	    0.0642	     17.53
 29	    0.0131	    0.0801	    0.3689	    0.0639	     17.52
 30	    0.0118	    0.0803	    0.3287	    0.0636	     17.51
 31	    0.0101	    0.0806	    0.2902	    0.0633	     17.50
 32	    0.0093	    0.0808	    0.2561	    0.0631	     17.49
 33	    0.0082	    0.0809	    0.2260	    0.0629	     17.49
 34	    0.0072	    0.0811	    0.1985	    0.0627	     17.48
 35	    0.0062	    0.0812	    0.1767	    0.0625	     17.48
 36	    0.0055	    0.0813	    0.1577	    0.0623	     17.47
 37	    0.0049	    0.0814	    0.1409	    0.0622	     17.47
 38	    0.0044	    0.0815	    0.1260	    0.0621	     17.47
 39	    0.0039	    0.0816	    0.1092	    0.0620	     17.47
 40	    0.0034	    0.0817	    0.0967	    0.0619	     17.47
 41	    0.0030	    0.0817	    0.0861	    0.0618	     17.46
 42	    0.0027	    0.0818	    0.0768	    0.0618	     17.46
 43	    0.0024	    0.0818	    0.0685	    0.0617	     17.46
 44	    0.0021	    0.0819	    0.0612	    0.0617	     17.46
历时 0.421153 秒。

summary: iterations=44 final_objective=17.4603813931 r_norm=0.00214123069935 eps_pri=0.0818796313473 s_norm=0.0611611521105 eps_dual=0.0616666310709 valid=0 elapsed_seconds=0.421442 status=success

=== Trial 20: rho=10 alpha=1.8 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    0.7180	    0.0215	   14.4710	    0.1472	     34.93
  2	    0.5704	    0.0307	   10.1917	    0.1146	     35.97
  3	    0.3981	    0.0372	    7.5220	    0.1155	     29.13
  4	    0.3493	    0.0430	    6.5639	    0.1027	     27.23
  5	    0.2856	    0.0477	    5.5742	    0.1007	     24.50
  6	    0.2543	    0.0520	    4.9926	    0.0942	     23.23
  7	    0.2195	    0.0557	    4.3979	    0.0912	     21.84
  8	    0.1952	    0.0591	    3.9244	    0.0869	     20.99
  9	    0.1713	    0.0620	    3.4677	    0.0841	     20.19
 10	    0.1507	    0.0646	    3.0837	    0.0812	     19.61
 11	    0.1333	    0.0669	    2.7281	    0.0787	     19.15
 12	    0.1168	    0.0690	    2.4223	    0.0766	     18.77
 13	    0.1024	    0.0707	    2.1285	    0.0746	     18.49
 14	    0.0900	    0.0723	    1.8766	    0.0729	     18.26
 15	    0.0790	    0.0737	    1.6500	    0.0714	     18.08
 16	    0.0687	    0.0749	    1.4365	    0.0700	     17.95
 17	    0.0599	    0.0759	    1.2504	    0.0688	     17.84
 18	    0.0516	    0.0768	    1.0711	    0.0677	     17.76
 19	    0.0447	    0.0776	    0.9221	    0.0668	     17.70
 20	    0.0385	    0.0782	    0.8059	    0.0660	     17.64
 21	    0.0333	    0.0788	    0.6984	    0.0654	     17.61
 22	    0.0289	    0.0793	    0.6041	    0.0648	     17.58
 23	    0.0249	    0.0797	    0.5265	    0.0643	     17.55
 24	    0.0217	    0.0800	    0.4589	    0.0639	     17.53
 25	    0.0189	    0.0804	    0.3988	    0.0635	     17.52
 26	    0.0160	    0.0806	    0.3417	    0.0632	     17.51
 27	    0.0138	    0.0809	    0.2947	    0.0629	     17.50
 28	    0.0118	    0.0810	    0.2524	    0.0627	     17.49
