iteration,objective
0,1441.4194957465809
1,42.345568504449915
2,42.34559898520316
3,42.34542712303689
4,42.34558876341855
5,42.345496344204584
6,42.34559035651903
7,42.34549637596304
8,42.34559035715597
9,42.34549637597598
10,42.34559035715633
11,42.34549637597598
12,42.34559035715633
13,42.34549637597598
14,42.34559035715633
15,42.34549637597598
16,42.34559035715633
17,42.34549637597598
18,42.34559035715633
19,42.34549637597598
20,42.34559035715633
